iter	Passed	Remaining
1199	9661	3937
1200	9668	3928
1201	9677	3921
1202	9684	3912
1203	9691	3903
1204	9699	3896
1205	9706	3887
1206	9714	3879
1207	9721	3871
1208	9731	3863
1209	9737	3854
1210	9746	3847
1211	9753	3838
1212	9762	3830
1213	9769	3822
1214	9778	3814
1215	9784	3806
1216	9793	3798
1217	9800	3790
1218	9810	3782
1219	9817	3774
1220	9826	3766
1221	9833	3757
1222	9840	3749
1223	9849	3741
1224	9856	3733
1225	9865	3725
1226	9873	3717
1227	9882	3710
1228	9889	3701
1229	9898	3693
1230	9905	3685
1231	9914	3677
1232	9921	3669
1233	9930	3661
1234	9937	3653
1235	9945	3645
1236	9952	3636
1237	9961	3629
1238	9969	3620
1239	9977	3612
1240	9984	3604
1241	9993	3596
1242	10000	3588
1243	10008	3580
1244	10015	3571
1245	10022	3563
1246	10030	3555
1247	10037	3546
1248	10046	3539
1249	10053	3530
1250	10061	3522
1251	10068	3514
1252	10077	3506
1253	10084	3498
1254	10092	3490
1255	10100	3481
1256	10108	3474
1257	10115	3465
1258	10122	3457
1259	10131	3449
1260	10138	3441
1261	10146	3433
1262	10153	3424
1263	10162	3416
1264	10169	3408
1265	10177	3400
1266	10184	3392
1267	10193	3384
1268	10200	3376
1269	10209	3368
1270	10215	3359
1271	10222	3351
1272	10229	3343
1273	10236	3334
1274	10245	3326
1275	10252	3318
1276	10261	3310
1277	10268	3302
1278	10277	3294
1279	10284	3286
1280	10293	3278
1281	10300	3270
1282	10309	3262
1283	10316	3253
1284	10325	3246
1285	10332	3237
1286	10340	3229
1287	10347	3221
1288	10354	3213
1289	10363	3205
1290	10370	3197
1291	10379	3189
1292	10386	3180
1293	10394	3173
1294	10401	3164
1295	10409	3156
1296	10416	3148
1297	10424	3140
1298	10431	3131
1299	10440	3124
1300	10447	3115
1301	10453	3107
1302	10462	3099
1303	10469	3091
1304	10478	3083
1305	10485	3074
1306	10492	3066
1307	10499	3058
1308	10507	3050
1309	10514	3041
1310	10523	3034
1311	10530	3026
1312	10539	3018
1313	10547	3010
1314	10556	3002
1315	10563	2993
1316	10571	2985
1317	10577	2977
1318	10586	2969
1319	10593	2961
1320	10602	2953
1321	10609	2945
1322	10616	2936
1323	10624	2929
1324	10632	2920
1325	10641	2913
1326	10648	2904
1327	10656	2896
1328	10662	2888
1329	10671	2880
1330	10678	2872
1331	10687	2864
1332	10694	2856
1333	10702	2848
1334	10709	2839
1335	10716	2831
1336	10724	2823
1337	10731	2815
1338	10740	2807
1339	10747	2799
1340	10756	2791
1341	10763	2783
1342	10770	2774
1343	10777	2766
1344	10786	2758
1345	10793	2750
1346	10801	2742
1347	10808	2734
1348	10815	2725
1349	10823	2718
1350	10830	2709
1351	10839	2701
1352	10846	2693
1353	10854	2685
1354	10861	2677
1355	10871	2669
1356	10878	2661
1357	10886	2653
1358	10894	2645
1359	10903	2637
1360	10911	2629
1361	10920	2621
1362	10927	2613
1363	10935	2605
1364	10942	2597
1365	10951	2589
1366	10957	2581
1367	10964	2572
1368	10973	2564
1369	10980	2556
